uf_nome,pop_14_t,pop_14_h,pop_14_m,ft_t,ft_h,ft_m,ocup_t,ocup_h,ocup_m,desocup_t,desocup_h,desocup_m,foraft_t,foraft_h,foraft_m
Acre,643,320,324,357,210,147,292,179,113,65,31,34,286,109,177
Alagoas,2592,1234,1358,1202,711,492,1008,617,391,194,94,100,1390,523,866
Amapa,612,295,317,383,221,162,305,182,123,78,39,39,230,75,155
Amazonas,2960,1481,1480,1844,1089,755,1548,959,590,296,131,165,1116,391,724
Bahia,11817,5744,6073,7073,4001,3072,5765,3375,2391,1307,626,681,4745,1744,3001
Ceara,7224,3454,3770,4122,2337,1785,3646,2100,1546,476,238,238,3102,1116,1986
Distrito Federal,2452,1167,1285,1677,886,791,1438,779,659,238,107,132,775,281,494
Espirito Santo,3177,1542,1635,2154,1203,951,1888,1082,807,266,121,144,1023,339,684
Goias,5563,2716,2847,3751,2090,1661,3344,1906,1439,407,184,222,1813,626,1186
Maranhao,5287,2575,2713,2591,1502,1089,2163,1282,880,429,220,209,2696,1073,1623
Mato Grosso,2673,1334,1339,1823,1065,758,1656,986,670,167,79,88,850,269,581
Mato Grosso do Sul,2109,1038,1071,1431,803,628,1295,747,548,137,57,80,677,235,443
Minas Gerais,17188,8385,8803,11183,6257,4926,9926,5684,4242,1257,573,684,6005,2128,3877
Para,6456,3197,3259,3836,2304,1532,3392,2094,1298,445,211,234,2619,893,1727
Paraiba,3140,1507,1633,1684,994,689,1494,897,597,189,97,92,1456,513,943
Parana,9176,4486,4690,6098,3434,2665,5548,3185,2363,550,249,301,3078,1052,2025
Pernambuco,7507,3535,3972,4269,2437,1832,3573,2091,1482,696,346,350,3238,1098,2140
Piaui,2560,1256,1305,1452,854,598,1264,739,525,188,116,73,1108,401,707
Rio de Janeiro,14368,6755,7613,8992,4959,4033,7604,4316,3288,1388,644,744,5376,1796,3580
Rio Grande do Norte,2778,1339,1438,1522,880,642,1308,761,548,214,119,95,1255,459,796
Rio Grande do Sul,9381,4517,4864,6164,3361,2803,5668,3148,2520,496,213,283,3218,1156,2061
Rondonia,1370,686,684,871,532,339,792,496,296,79,36,43,499,154,345
Roraima,392,196,196,257,149,109,218,130,88,39,18,21,134,47,87
Santa Catarina,5801,2849,2952,3920,2167,1753,3635,2046,1589,285,121,164,1881,682,1199
Sao Paulo,37476,18029,19447,25832,14080,11752,22322,12384,9938,3510,1696,1814,11644,3949,7695
Sergipe,1795,850,946,1063,599,464,898,517,381,165,82,83,732,251,481
Tocantins,1192,601,590,720,429,291,631,382,249,90,47,42,471,172,299
