begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,COD_INFORMANTE
21,22,V6101
22,28,V6102
28,33,V6103
33,34,V61041
34,35,V61042
35,36,V61043
36,37,V61044
37,38,V61045
38,39,V61046
39,40,V61051
40,41,V61052
41,42,V61053
42,43,V61054
43,44,V61055
44,45,V61056
45,46,V61057
46,47,V61058
47,48,V61061
48,49,V61062
49,50,V61063
50,51,V61064
51,52,V61065
52,53,V61066
53,54,V61067
54,55,V61068
55,56,V61069
56,57,V610610
57,58,V610611
58,59,V61071
59,60,V61072
60,61,V61073
61,62,V6108
62,63,V6109
63,64,V6110
64,65,V6111
65,66,V6112
66,67,V6113
67,68,V6114
68,69,V6115
69,70,V6116
70,71,V6117
71,72,V6118
72,73,V6119
73,74,V6120
74,75,V6121
75,89,PESO
89,103,PESO_FINAL
103,113,RENDA_TOTAL
