begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,COD_INFORMANTE
21,23,QUADRO
23,25,SEQ
25,29,V9005
29,31,V9007
31,38,V9001
38,41,V9015
41,43,V9016
43,44,V9017
44,45,V9018
45,46,V9019
46,47,V9020
47,48,V9021
48,49,V9022
49,50,V9023
50,51,V9024
51,52,V9025
52,53,V9026
53,54,V9027
54,55,V9028
55,56,V9029
56,57,V9030
57,59,COD_UNIDADE_MEDIDA_FINAL
59,61,COD_PREPARACAO_FINAL
61,68,GRAMATURA1
68,77,QTD
77,83,COD_TBCA
83,97,ENERGIA_KCAL
97,111,ENERGIA_KJ
111,125,PTN
125,139,CHOTOT
139,153,FIBRA
153,167,LIP
167,181,COLEST
181,195,AGSAT
195,209,AGMONO
209,223,AGPOLI
223,237,AGTRANS
237,251,CALCIO
251,265,FERRO
265,279,SODIO
279,293,MAGNESIO
293,307,FOSFORO
307,321,POTASSIO
321,335,COBRE
335,349,ZINCO
349,363,VITA_RAE
363,377,TIAMINA
377,391,RIBOFLAVINA
391,405,NIACINA
405,419,PIRIDOXAMINA
419,433,COBALAMINA
433,447,VITD
447,461,VITE
461,475,VITC
475,489,FOLATO
489,503,PESO
503,518,PESO_FINAL
518,528,RENDA_TOTAL
528,543,DIA_SEMANA
543,544,DIA_ATIPICO
