begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,V0201
19,20,V0202
20,21,V0203
21,22,V0204
22,24,V0205
24,25,V0206
25,26,V0207
26,27,V0208
27,28,V0209
28,29,V02101
29,30,V02102
30,31,V02103
31,32,V02104
32,33,V02105
33,35,V02111
35,36,V02112
36,37,V02113
37,38,V0212
38,39,V0213
39,40,V02141
40,41,V02142
41,42,V0215
42,43,V02161
43,44,V02162
44,45,V02163
45,46,V02164
46,47,V0217
47,48,V0219
48,49,V0220
49,50,V0221
50,64,PESO
64,78,PESO_FINAL
78,79,V6199
