begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,COD_INFORMANTE
21,23,V0306
23,24,V0401
24,26,V04021
26,28,V04022
28,32,V04023
32,35,V0403
35,36,V0404
36,37,V0405
37,38,V0406
38,39,V0407
39,40,V0408
40,42,V0409
42,43,V0410
43,45,V0411
45,46,V0412
46,47,V0413
47,48,V0414
48,49,V0415
49,50,V0416
50,51,V041711
51,52,V041712
52,53,V041721
53,54,V041722
54,55,V041731
55,56,V041732
56,57,V041741
57,58,V041742
58,59,V0418
59,61,V0419
61,62,V0420
62,63,V0421
63,65,V0422
65,66,V0423
66,67,V0424
67,69,V0425
69,70,V0426
70,71,V0427
71,72,V0428
72,74,V0429
74,75,V0430
75,77,ANOS_ESTUDO
77,91,PESO
91,105,PESO_FINAL
105,115,RENDA_TOTAL
115,116,INSTRUCAO
116,117,COMPOSICAO
117,137,PC_RENDA_DISP
137,157,PC_RENDA_MONET
157,177,PC_RENDA_NAO_MONET
177,197,PC_DEDUCAO
