begin,end,col_names
0,2,UF
2,6,ESTRATO_POF
6,7,TIPO_SITUACAO_REG
7,16,COD_UPA
16,18,NUM_DOM
18,19,NUM_UC
19,21,COD_INFORMANTE
21,23,QUADRO
23,24,SUB_QUADRO
24,25,SEQ
25,32,V9001
32,33,V5302
33,34,V53021
34,35,V5303
35,36,V5304
36,37,V5305
37,38,V5307
38,45,V8500
45,52,V531112
52,59,V531122
59,66,V531132
66,68,V9010
68,70,V9011
70,73,V5314
73,74,V5315
74,86,DEFLATOR
86,96,V8500_DEFLA
96,106,V531112_DEFLA
106,116,V531122_DEFLA
116,126,V531132_DEFLA
126,127,COD_IMPUT_VALOR
127,128,FATOR_ANUALIZACAO
128,142,PESO
142,156,PESO_FINAL
156,166,RENDA_TOTAL
166,170,V53011
170,175,V53061
